query,queryType,registry,countryCode
167.94.138.36,IPv4,ARIN,US
167.94.138.36,IPv4,ARIN,US
94.102.61.88,IPv4,RIPENCC,NL
167.94.146.58,IPv4,ARIN,US
167.94.146.58,IPv4,ARIN,US
209.141.60.74,IPv4,ARIN,US
47.92.236.60,IPv4,APNIC,CN
47.92.236.60,IPv4,APNIC,CN
47.92.236.60,IPv4,APNIC,CN
47.92.236.60,IPv4,APNIC,CN
47.92.236.60,IPv4,APNIC,CN
162.243.144.4,IPv4,ARIN,US
62.210.90.216,IPv4,RIPENCC,FR
